id,repository,number,state,title,labels,is_pull_request,created_at,updated_at,closed_at,author,comments,url,body
381803292,pytorch/glow,2045,OPEN,[Glow Runtime] Top Level Task,,False,2018-11-17T00:10:15Z,2019-01-09T22:24:28Z,,qcolombet,1,https://github.com/pytorch/glow/issues/2045,"This is the top level issue to track all the work we plan to do to make the glow runtime supports concurrent execution, pipelining, batching and so on. At a high level, the idea for the runtime is to be able to:  Enqueue inputs: Run input0, then run input1 as soon as the previous run is done, etc. Slice the inputs into batch size and transparently run them: Take N input and sequentially run them in batches of M (where M is the size of the compiled model and N the actual run size.) Pipeline work across models: Run input1 on model M1, then run the result of M1 on M2 while running input2 on M1, etc.  Among other things, the glow runtime will have to:  Manage input/output queues for each model (and communication with the devices) Manage incoming model Keep track of data dependencies and schedule next tasks to be done Split inputs Pad inputs Dispatch workload on device Keep track of the status of devices Also, somewhat orthogonal to the runtime, but related, glow will need to: Determine what and where to run things (graph partitioning)  Right now, we started by splitting the compilation and runtime stages properly. This work is tracked in: #2040, #1967, #1953, #1951"
384505615,pytorch/glow,2080,OPEN,[RFC] Specialized precision specification,,False,2018-11-26T20:52:41Z,2019-04-29T22:32:15Z,,jfix71,0,https://github.com/pytorch/glow/issues/2080,"Some models may need a specialized precision specification. For example, right now we have very coarse grained options to quantize all of a model/convert all of a model to fp16 (modulo node kinds specified as ""keep original precision""). However, some models may require nodes of the same kind to have different precision (e.g. some Add nodes should use fp16, others int8). It seems the best way to specify this is to allow for a user to provide a precision specification file that designates what precision each node in the graph should have. Each node's name (from the proto they are loaded from) would be specified along with the node's desired precision. Some initial questions/brainstorming here:   When should this specification file be loaded and applied? Because some operators are implemented as many nodes, it seems we will need to do this as we build the graph. Thus there is likely a data structure (e.g. a map from nodes to output types) that will need to be passed from node builder to a FunctionConverter.   Related to 1, an operator may be implemented as multiple Glow nodes internally by the graph creator (e.g. createBatchedReduceMean() creates a BatchedReduceAdd, Splat, and Div, and only the Div is returned). Do we apply the same precision to all nodes created?   Assuming yes to 2, creating the aforementioned map from nodes to types is not straightforward using our current API and nodes, because if an operator is implemented via multiple nodes then only the final node in the chain is returned by the creator. Some initial thoughts on solutions:  Change the node creator API to return a structure that holds all the nodes created by a call. At first thought this is a bit problematic, as it could potentially greatly complicate the importers and unit tests. Change the node creator API to pass in an optional empty set ptr, which has all newly created nodes added to it. This seems kind of meh to me, but also perhaps the least intrusive and wouldn't require extra walking of the graph like iii, and no extra overhead of new nodes in the graph like iv. Save a running set of the nodes in the graph prior to calling the creator and then compare against the new graph to determine the new nodes to add to the mapping. I don't really love this option, but it at least requires no API change to the node creators. Stop implementing operators directly as many different nodes in the creator and instead add actual nodes for them, which are later lowered. The lowered nodes would use the same precision as their parent node. This means we'd need to consider/handle more nodes across the compiler infrastructure, e.g. we'd likely need to extend graph optimizations to consider them, etc.    Should we require the quantization parameters to be declared in this precision specification? This means there is manual intervention required if we want to get the quantization parameters via our own profiling. Alternatively, we could specify the integer width (e.g. int8), and then require a quantization profile file to be loaded as well for any nodes that should be quantized. I suppose we could support both."
388781955,pytorch/glow,2145,OPEN,Can we stop lowering FC to Matmul+BatchedAdd?,enhancement,False,2018-12-07T19:21:48Z,2019-04-29T22:34:06Z,,bertmaher,3,https://github.com/pytorch/glow/issues/2145,"GEMM is almost always implemented as Y = AX+b, so we actually end up doing something less efficient by separating these into two nodes.  It's pretty universal on HW backends, too.  We could write new optimizations to re-fuse them, but why?"
390149403,pytorch/glow,2165,OPEN,Delay the 'Quantize(Constant)->Constant' optim until after post-lowering.,,False,2018-12-12T10:02:13Z,2019-05-07T16:55:57Z,,tlepley-cadence,13,https://github.com/pytorch/glow/issues/2165,"Currently, Constant are statically quantized early in the compilation flow. Basically the Quantize(Constant)->Constant optim happens in the glow::optimize() function. There are multiple issues with this, potentially resulting into accuracy loss because the scale/offset of Constant may still have to change during the Glow compilation flow. By keeping Quantize nodes longer in the IR, scale/offset can be changed freely without resulting into any accuracy loss for constants. In particular, the backend may at post-lowering:  introduce rescale nodes to handle specific constrains between node operands for the target, resulting to the need to requantize some constants after rescale propagation / optims. do extra target specific optimizations resulting in the need to requantize some constants.  Just to illustrate with an example, the convolution bias is currently quantized to have a scale equal to (scale of input) * (scale of weights). We noticed that after post-lowering this equality was not necessary true anymore, due to some lowering & optimization combinations. the bias then needs to be requantized, what can be done without loss only if the Quantize node is still in the IR. See: #2166 @beicy"
391225244,pytorch/glow,2169,OPEN,Calling Instruction::getType yields a nullptr,bug,False,2018-12-14T18:50:55Z,2019-04-29T22:37:11Z,,bertmaher,1,https://github.com/pytorch/glow/issues/2169,"I just stumbled across this landmine, and I wonder if we could do some redesign of the types involved to avoid it: Instruction is a Value, and Value is a Typed, but if you actually call getType on an instruction, it's a nullptr.  Something seems broken in this model.  Maybe there are some Instructions that really are Typed but it doesn't seem like it holds generally."
391655682,pytorch/glow,2181,OPEN,Emit-bundle creates softfp object code despite triple set to arm-linux-gnueabihf,bug,False,2018-12-17T10:50:38Z,2019-04-29T22:37:34Z,,djordje-dj-s,1,https://github.com/pytorch/glow/issues/2181,"I successfully compiled GLOW (commit-id: 5bb41e1) using default triple settings (i.e. x86_64). AOT compilation for sample example (mnist) finished properly, emitting mnix.onnx.o. I used command: /../bin/image-classifier  ../tests/images/mnist/2_1065.png -model ../../models/mnist.onnx -image-mode=0to255 -model-input-name=data_0 -cpu -target arm-linux-gnueabihf   -emit-bundle ./bundle_dir But emit-bundle step, created softfp object file (despite ""-cpu -target arm-linux-gnueabihf"" options set). Is there any other command line option required for specific cross-compilation? Thank you! djdjds p.s. ..../build_x86/LENET/bundle_dir$ readelf -a mnist.onnx.o ELF Header: Magic:   7f 45 4c 46 01 01 01 00 00 00 00 00 00 00 00 00 Class:                             ELF32 Data:                              2's complement, little endian Version:                           1 (current) OS/ABI:                            UNIX - System V ABI Version:                       0 Type:                              REL (Relocatable file) Machine:                           ARM Version:                           0x1 Entry point address:               0x0 Start of program headers:          0 (bytes into file) Start of section headers:          8260 (bytes into file) Flags:                             0x5000000, Version5 EABI Size of this header:               52 (bytes) Size of program headers:           0 (bytes) Number of program headers:         0 Size of section headers:           40 (bytes) Number of section headers:         12 Section header string table index: 1 Similarly on attempt to create executable on target, reported softfp for mnist.onnx.o g++ main.cpp mnist.onnx.o -lpng -o lenet_mnist /usr/lib/gcc/arm-linux-gnueabi/7.2.1/../../../../arm-linux-gnueabi/bin/ld: error: lenet_mnist uses VFP register arguments, mnist.onnx.o does not /usr/lib/gcc/arm-linux-gnueabi/7.2.1/../../../../arm-linux-gnueabi/bin/ld: failed to merge target specific data of file mnist.onnx.o"
391932801,pytorch/glow,2187,OPEN,"[ONNXIFI][GraphAPI] Add ""orErr"" methods for graph creation api",good first issue,False,2018-12-17T23:27:54Z,2019-04-29T22:38:50Z,,jackm321,0,https://github.com/pytorch/glow/issues/2187,"Add additional graph creation methods that will return a llvm::Expected<Node *> and return an error instead of asserting if a precondition is not met. These new methods should be called by the model loading layer only. Ideally any errors that arise during loading should be caught by check within the loaders themselves and these new graph creation methods are intended as a last line of defense before to catch any malformed inputs before they are transformed into the glow high level IR, beyond which all nodes should be considered valid."
391934677,pytorch/glow,2188,OPEN,[ONNXIFI] Add additional precondition checks to model loaders,good first issue,False,2018-12-17T23:35:42Z,2019-04-29T22:39:05Z,,jackm321,0,https://github.com/pytorch/glow/issues/2188,"Model loaders should verify preconditions for the nodes they are loading (ONNX or Caffe2) before invoking the glow graph creation api methods. To make a concrete example, ONNXModelLoader::loadConv() should check the dimensions of the filterValue to ensure that they are valid instead of relying on the graph creation API's assertConvDims called from Function::createConv() to find errors."
391939333,pytorch/glow,2189,OPEN,[ONNXIFI] Handle out of memory errors in onnxInitGraph,enhancement,False,2018-12-17T23:55:40Z,2019-04-29T22:39:52Z,,jackm321,6,https://github.com/pytorch/glow/issues/2189,Create an out of memory error and return this error from HostManager::addNetwork in the event that enough memory could not be allocated to initialize the network. This error should be handled by glow's ONNXIFI interface and a ONNXIFI_STATUS_NO_SYSTEM_MEMORY status should be returned.
393214951,pytorch/glow,2206,OPEN,[Quantization] Tensor equality check for quantized types needs to be fixed,bug,False,2018-12-20T21:17:51Z,2019-04-29T22:41:30Z,,rdzhabarov,1,https://github.com/pytorch/glow/issues/2206,Currently we do not take scale and offset into consideration when comparing two tensors of quantized types. See here. We need to make sure that actual comparison takes scale and offset into consideration during the comparison.
